Threshold,Precision,Recall,F2
0.052894205,0.1029641185647426,0.7951807228915663,0.3391572456317848
0.053020783,0.103125,0.7951807228915663,0.339506172839225
0.053061258,0.10328638497652583,0.7951807228915663,0.339855818743282
0.053165246,0.10188087774294671,0.7831325301204819,0.3350515463914711
0.053290606,0.10204081632653061,0.7831325301204819,0.33539731682118384
0.053421725,0.10220125786163523,0.7831325301204819,0.3357438016526108
0.05362248,0.10236220472440945,0.7831325301204819,0.33609100310209666
0.053714786,0.10252365930599369,0.7831325301204819,0.3364389233951631
0.053726796,0.10268562401263823,0.7831325301204819,0.33678756476655725
0.053797532,0.10284810126582279,0.7831325301204819,0.3371369294602987
0.05382459,0.10301109350237718,0.7831325301204819,0.337487019729728
0.053894304,0.10317460317460317,0.7831325301204819,0.3378378378375553
0.054019157,0.10333863275039745,0.7831325301204819,0.33818938605590876
0.054199807,0.1035031847133758,0.7831325301204819,0.33854166666638386
0.054263294,0.10366826156299841,0.7831325301204819,0.3388946819600925
0.054377433,0.10383386581469649,0.7831325301204819,0.3392484342377127
0.054581176,0.104,0.7831325301204819,0.33960292580953916
0.05468804,0.10416666666666667,0.7831325301204819,0.33995815899553256
0.05469027,0.1043338683788122,0.7831325301204819,0.340314136125371
0.05470833,0.1045016077170418,0.7831325301204819,0.3406708595385004
0.054737274,0.10466988727858294,0.7831325301204819,0.3410283315841863
0.054774806,0.10483870967741936,0.7831325301204819,0.3413865546215648
0.054829165,0.1050080775444265,0.7831325301204819,0.3417455310196949
0.05484807,0.10517799352750809,0.7831325301204819,0.34210526315761053
0.054852422,0.1053484602917342,0.7831325301204819,0.3424657534243732
0.054872893,0.10551948051948051,0.7831325301204819,0.3428270042191248
0.05495289,0.10569105691056911,0.7831325301204819,0.34318901795114093
0.05510624,0.10586319218241043,0.7831325301204819,0.34355179703988437
0.055151794,0.10603588907014681,0.7831325301204819,0.34391534391505896
0.055416614,0.10620915032679738,0.7831325301204819,0.34427966101666413
0.055499006,0.10638297872340426,0.7831325301204819,0.34464475079504886
0.055636033,0.10655737704918032,0.7831325301204819,0.3450106157109673
0.05580349,0.10509031198686371,0.7710843373493976,0.3400637619550812
0.05594842,0.10526315789473684,0.7710843373493976,0.340425531914608
0.056135315,0.10543657331136738,0.7710843373493976,0.3407880724171796
0.056182705,0.10561056105610561,0.7710843373493976,0.34115138592721944
0.056264915,0.10578512396694215,0.7710843373493976,0.3415154749196714
0.056469742,0.10596026490066225,0.7710843373493976,0.3418803418800558
0.056618348,0.10613598673300166,0.7710843373493976,0.3422459893045266
0.056723226,0.10631229235880399,0.7710843373493976,0.3426124196999278
0.056949787,0.1064891846921797,0.7710843373493976,0.34297963558385064
0.057113506,0.105,0.7590361445783133,0.33798283261773904
0.057235513,0.10517529215358931,0.7590361445783133,0.33834586466136735
0.05736137,0.10535117056856187,0.7590361445783133,0.3387096774190679
0.05744346,0.10552763819095477,0.7590361445783133,0.33907427341198415
0.057487443,0.10570469798657718,0.7590361445783133,0.33943965517212654
0.05748952,0.10588235294117647,0.7590361445783133,0.3398058252424311
0.057509586,0.10606060606060606,0.7590361445783133,0.34017278617681834
0.05764486,0.10623946037099494,0.7590361445783133,0.3405405405402529
0.05772034,0.10641891891891891,0.7590361445783133,0.3409090909088031
0.057887938,0.1065989847715736,0.7590361445783133,0.34127843986970124
0.057922628,0.10677966101694915,0.7590361445783133,0.3416485900214039
0.057974648,0.10696095076400679,0.7590361445783133,0.3420195439736532
0.058216963,0.10714285714285714,0.7590361445783133,0.3423913043475378
0.05838747,0.10732538330494037,0.7590361445783133,0.34276387377555484
0.058450025,0.1075085324232082,0.7590361445783133,0.3431372549016722
0.058752358,0.1076923076923077,0.7590361445783133,0.3435114503813907
0.058804613,0.10787671232876712,0.7590361445783133,0.3438864628818072
0.058812205,0.10806174957118353,0.7590361445783133,0.34426229508167816
