Threshold,Precision,Recall,F1,F2,False Negatives,True Positives,False Positives,True Negatives
0.0014689855,0.09485530546623794,0.7108433734939759,0.1673758865248227,0.30922431865828093,24,59,563,607
0.001473019,0.09500805152979067,0.7108433734939759,0.16761363636363635,0.3095487932843652,24,59,562,608
0.0014733648,0.09516129032258064,0.7108433734939759,0.1678520625889047,0.30987394957983194,24,59,561,609
0.0014743066,0.09531502423263329,0.7108433734939759,0.16809116809116809,0.31019978969505785,24,59,560,610
0.0014870033,0.09546925566343042,0.7108433734939759,0.16833095577746077,0.3105263157894737,24,59,559,611
0.0014910869,0.09562398703403566,0.7108433734939759,0.16857142857142857,0.3108535300316122,24,59,558,612
0.0014928558,0.09577922077922078,0.7108433734939759,0.1688125894134478,0.3111814345991561,24,59,557,613
0.0014928593,0.0959349593495935,0.7108433734939759,0.16905444126074498,0.3115100316789863,24,59,556,614
0.00149651,0.09609120521172639,0.7108433734939759,0.16929698708751795,0.3118393234672304,24,59,555,615
0.0014989931,0.09624796084828711,0.7108433734939759,0.16954022988505746,0.31216931216931215,24,59,554,616
0.0015131213,0.09640522875816994,0.7108433734939759,0.1697841726618705,0.3125,24,59,553,617
0.0015187113,0.09656301145662848,0.7108433734939759,0.17002881844380405,0.31283138918345704,24,59,552,618
0.0015203101,0.09672131147540984,0.7108433734939759,0.17027417027417027,0.31316348195329086,24,59,551,619
0.0015223237,0.09688013136288999,0.7108433734939759,0.17052023121387283,0.3134962805526036,24,59,550,620
0.0015224165,0.09703947368421052,0.7108433734939759,0.170767004341534,0.31382978723404253,24,59,549,621
0.0015370906,0.09719934102141681,0.7108433734939759,0.17101449275362318,0.3141640042598509,24,59,548,622
0.0015485015,0.09735973597359736,0.7108433734939759,0.17126269956458637,0.31449893390191896,24,59,547,623
0.001561866,0.09752066115702479,0.7108433734939759,0.17151162790697674,0.31483457844183566,24,59,546,624
0.0015641155,0.09768211920529801,0.7108433734939759,0.1717612809315866,0.31517094017094016,24,59,545,625
0.0015645191,0.0978441127694859,0.7108433734939759,0.17201166180758018,0.3155080213903743,24,59,544,626
0.0015729115,0.09800664451827243,0.7108433734939759,0.17226277372262774,0.3158458244111349,24,59,543,627
0.0015768156,0.09816971713810316,0.7108433734939759,0.17251461988304093,0.3161843515541265,24,59,542,628
0.0015788384,0.09833333333333333,0.7108433734939759,0.17276720351390923,0.3165236051502146,24,59,541,629
0.0015807624,0.09849749582637729,0.7108433734939759,0.17302052785923755,0.31686358754027927,24,59,540,630
0.0015920982,0.09866220735785954,0.7108433734939759,0.17327459618208516,0.3172043010752688,24,59,539,631
0.0015970127,0.09882747068676717,0.7108433734939759,0.17352941176470588,0.317545748116254,24,59,538,632
0.0015979359,0.09899328859060402,0.7108433734939759,0.17378497790868924,0.31788793103448276,24,59,537,633
0.0015983125,0.09915966386554621,0.7108433734939759,0.17404129793510326,0.3182308522114347,24,59,536,634
0.0016012235,0.09932659932659933,0.7108433734939759,0.17429837518463812,0.3185745140388769,24,59,535,635
0.001601366,0.09949409780775717,0.7108433734939759,0.17455621301775148,0.31891891891891894,24,59,534,636
0.0016035129,0.09966216216216216,0.7108433734939759,0.1748148148148148,0.31926406926406925,24,59,533,637
0.0016104073,0.09983079526226735,0.7108433734939759,0.17507418397626112,0.3196099674972914,24,59,532,638
0.0016110407,0.1,0.7108433734939759,0.17533432392273401,0.3199566160520607,24,59,531,639
0.0016222032,0.100169779286927,0.7108433734939759,0.17559523809523808,0.32030401737242126,24,59,530,640
0.0016267078,0.10034013605442177,0.7108433734939759,0.17585692995529062,0.32065217391304346,24,59,529,641
0.0016300514,0.10051107325383304,0.7108433734939759,0.1761194029850746,0.32100108813928185,24,59,528,642
0.0016674743,0.10068259385665529,0.7108433734939759,0.17638266068759342,0.3213507625272331,24,59,527,643
0.0016717329,0.10085470085470086,0.7108433734939759,0.17664670658682635,0.321701199563795,24,59,526,644
0.001678304,0.10102739726027397,0.7108433734939759,0.17691154422788605,0.3220524017467249,24,59,525,645
0.0016840501,0.10120068610634649,0.7108433734939759,0.17717717717717718,0.3224043715846995,24,59,524,646
0.0016931824,0.09965635738831616,0.6987951807228916,0.17443609022556392,0.3172866520787746,25,58,524,646
0.0017007256,0.09982788296041308,0.6987951807228916,0.1746987951807229,0.3176341730558598,25,58,523,647
0.001715574,0.1,0.6987951807228916,0.17496229260935142,0.31798245614035087,25,58,522,648
0.0017262601,0.1001727115716753,0.6987951807228916,0.17522658610271905,0.31833150384193193,25,58,521,649
0.0017291574,0.10034602076124567,0.6987951807228916,0.17549167927382753,0.31868131868131866,25,58,520,650
0.0017300748,0.10051993067590988,0.6987951807228916,0.17575757575757575,0.31903190319031904,25,58,519,651
0.0017359573,0.10069444444444445,0.6987951807228916,0.17602427921092564,0.31938325991189426,25,58,518,652
0.0017410517,0.10086956521739131,0.6987951807228916,0.1762917933130699,0.3197353914002205,25,58,517,653
0.0017593522,0.10104529616724739,0.6987951807228916,0.1765601217656012,0.3200883002207506,25,58,516,654
0.0017640934,0.09947643979057591,0.6867469879518072,0.17378048780487804,0.3149171270718232,26,57,516,654
0.0017734455,0.09965034965034965,0.6867469879518072,0.17404580152671756,0.31526548672566373,26,57,515,655
0.0017982639,0.09982486865148861,0.6867469879518072,0.1743119266055046,0.31561461794019935,26,57,514,656
0.0018001753,0.1,0.6867469879518072,0.17457886676875958,0.31596452328159647,26,57,513,657
0.0018056046,0.10017574692442882,0.6867469879518072,0.17484662576687116,0.316315205327414,26,57,512,658
0.0018096417,0.10035211267605634,0.6867469879518072,0.17511520737327188,0.31666666666666665,26,57,511,659
